10 8 8 8

0:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1:00000000,00000000,01000000,00000000,00000000,00000000,00000000,00000000
2:00000000,00000000,00010001,00000000,00000000,00000000,00000000,01010000
3:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4:00000000,00000001,00000000,00000000,00000000,00000000,00000000,01000001
5:00000000,00001000,00000000,00000000,00000000,00000000,00000000,00000100
6:00000000,00000000,00000000,00000000,00000001,00000000,00000000,00001001
7:00000000,00100110,00010000,00000111,00010000,00100100,00010100,00000000
0:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6:00000000,00000000,00000000,00000000,00000001,00000000,00000000,00001000
7:00000000,00000000,00000000,00000011,00000000,00000000,00000000,00000000
0:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6:00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000
7:00000000,00000000,00000000,00000011,00000000,00000000,00000000,00000000
0:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6:00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000
7:00000000,00000000,00000000,00000011,00000000,00000000,00000000,00000000
0:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6:00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000
7:00000000,00000000,00000000,00000011,00000000,00000000,00000000,00000000
0:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6:00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000
7:00000000,00000000,00000000,00000011,00000000,00000000,00000000,00000000
0:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6:00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000
7:00000000,00000000,00000000,00000011,00000000,00000000,00000000,00000000
0:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6:00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000
7:00000000,00000000,00000000,00000011,00000000,00000000,00000000,00000000
0:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6:00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000
7:00000000,00000000,00000000,00000011,00000000,00000000,00000000,00000000
0:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5:00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6:00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000
7:00000000,00000000,00000000,00000011,00000000,00000000,00000000,00000000
