16 32 32 32

0:00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000
1:00000000000000000000000000000000,00011100100100000011001011000101,00100000110110110000000000000111,00100100001100001000000000000111,00111000001110000000000000000001,00000110001100001100000011100001,00010001001101110100001101110010,00000000110100000011100000100000,00001100010000001100000000000000,00001110000000000001000000000001,01111000100000000010011000010100,01110000111000000100000100000011,00000000000001100000000011000000,00000111000000111110000011000101,00001001101110100000000011100010,00000010100000000000000100000101,00010001010000000000001100000101,01001000000100001100011011001000,00000100000000001010010010101000,00000000000000101000110010101111,00000000000000101000000000010011,00000000000000000000000000011001,00000110110110000000000000100110,00000010000110000000000000111000,00010011000000000000001000100001,01000111000010100000001011100001,01000001000100001101101111100000,00010000000001010001010010100011,01010001001000101100011101011011,00001000100001001000000011011001,00001000111000100000000101000011,00000010011111101100000001110101
2:00000000000000000000000000000000,00001000100000000000010111001000,00010100000110000000000000000100,00010100111100011000000000000010,00111000111100000110000000000000,01101001101010000000000000001110,00111011000100010011001110101001,01110100001101000000000001110010,01000011110000101000000000010100,00010010000000100000000100001111,01101000000000110001101110011110,01101101101100010110111100011010,01111100111100011010001010011101,01100001000100111001100100011100,01110001000100100101001111011011,01001000100010100010001000000010,01110001001010000000001000100010,01101001000100000100110001001001,00011100000100001111100110001001,00010000011100001110000110001101,00000000000100000000000001010010,00000000000000000000000000011000,00001100111000000000000000010110,00001100110000000000100011010000,00000010111110000010000010010001,00101000000001001010011011000001,00010110001100111101000011100011,01001010011001011110100100000001,00110000011001101000100000111001,00111000111010001000001110011001,01011000100101011100001100011011,00100110000011111111000111110101
3:00000000000000000000000000000000,00100000000010000010111010011100,00001000101110000001001000000000,00001111100101100000010000000010,00001101111000010010011100000000,00001101011001000011110101000010,00000001111101010010011100000111,00000011110000001000001100100100,01100011101000110000010100101111,00011111000001010000001110011111,00011000010000001000001000011000,00011111001110111000011000010000,01101110100110111001001100010011,01000001010110100001001000011001,01110000101000110110000010010011,01000001110000110000000111000000,01010001000110011011111110100000,01110001000100000111111110001001,01000010001100000011111111100000,00111000000000001101100110000100,00001011010000000010000001110000,00010001100000000000000010000011,01000110011100000110000010100110,00000001111111000011100010010000,00001111000010000011000001100000,01101000001110000010011001100010,00000010001110001001000111000100,00010010000000000111100011100100,00011010011111111000100000010001,01101100101101101100011010110000,01100000101110100000000001010000,01100011000010000001000000011011
4:00000000000000000000000000000000,01100000000011000100101110001010,01111000000000000010000100000000,00011111100000000011000000000110,00011100000101000001001100000000,00100111000000000001111101000000,00011111011000010001110101000001,00010011100000000000001111010000,00010000101010010000010011001111,00111001100010001000000111001010,00111000110100000000000000000101,00010000010000000000000100011100,00000000010000000000011000010011,00110000000110000000011000000011,00011010100000001000000100001011,00111000000000001010100000011000,00000010000000111010001010000000,00000000101011110110110011100100,00100001001100111110110011100100,00111100111110101110111000001001,00101011111101001110000010110100,00000010000100000010000010010101,01000010010100001001000100110000,00000000001010010010000010001110,00000000000100011010011010001110,01101000000100011001000011011101,00000000000000011011000101010000,00000000000001110000100011111100,00000011010000011101101010011010,00100101001001000111101001110010,01011011000101100001100001000011,01000000000100000000000000000010
5:00000000000000000000000000000000,00000000001000000100101010000000,01110000000000000000010100011000,00111111100000000100000100000011,01101110000110000010001100010000,00111110000000011110100101000010,00011100000000000001100100000111,00101000000001110000001110101111,01000001000010010000100101000001,00001011011001000000001100000111,00011111000011000000000111111001,01001000010110000000011000111000,00000000001110011000100001001101,00000100000010000000100011001000,00000000000010000000011100001011,01111000100000001010000000011011,01000000000110111000001110010010,01000001110101000100100001011011,00010000000001000100100000011011,00010000001110001000000111111011,00011100010000000010000110000000,00000010000010000100000100100000,01000010001001101111000011000101,01000010001111111000100000010010,00100000110000010001010000110000,00011000011100000000111000000001,00000111100001010101111101100001,01000110000101110000100010001000,01010110010101111101101011001110,00111111101001110011101100000001,01001010000101010000000111000000,00010001000010111001000010000000
6:00000000000000000000000000000000,01100000100011000100001000010011,01110000100001000011001000011000,00010000100000000111001000011111,01110001101110000000000000011100,01010011101010011100000000110110,01011101001000000000000101110111,01000110000100010000010010110111,00010100000000000000000111111111,01101101100000000000101100011011,00101001100000000000001000100010,00101000101100000100011000000010,00001001100101010000000000010001,00100011100010101000000000111101,00110000000101100000010000001000,00110000101000100000000110001001,01001000110101111000001001011000,01100110110000000010100001110000,00001110010000000010100101100000,00000110000000001110101001101000,00000000000001110101100000110011,00000001011011001100000001100111,01000001011000100111100001111101,00100000001000101100100000100010,00100001000000001110000001000000,00011000101000000001001000000010,00001111111111010000111110000110,01111110001011000000100000001000,00001000000111000001001000110111,00000110111111111101001010011101,00110110001011110110000010000100,01100010001010010110001010000100
7:00000000000000000000000000000000,00100010100100100100000010101000,00110001100011100000000000001100,00000000000000000110000000001110,00010001101000000101000000001000,01010000000100000101111001100011,01011000000111000010011100110111,00110010000100010000011111010000,01110000001001001000010100001010,00101100000000000000110011011110,00001101100000000000010010100000,00101101000100000111100000010000,00001010000010111101100000100000,00000000000001111001000001000000,00000000000001110000100000001010,00000000100001111011111001001101,01010000001111011001000000110000,01100100000001010100000000101000,01011100010001011111000100000000,00011010010000111011101101000011,00000001010100010100000000100000,00010100110001101001010010001100,01110110000000000101010000000100,00000100001000011101010001100110,00100110000000000010010001101110,00011000001000001101010100000001,00000000001001001100111110000000,00011100000011000100011000000000,01110100011111001101101110001000,01110100010010001101101010001100,00111100000000010000011010011001,00000100001101100000001010001011
8:00000000000000000000000000000000,01100010000101100000000010000000,01110011000011100100100000000101,00110000000000000111000000000010,01100100100000001001000000000000,01110111000000001101101001000001,00111111000110011101101000100011,00100010001101100000111111000110,00110000000000011000011010001100,01110101100000011000010000111101,01110101100100011110000001101010,01110111100100001000110001010010,01110100000100011001110001100000,00000000000001011001100000100001,01000000100001010000010000000000,01100000100111100011101000000000,00001000101000000000000000001000,01000000000001000010000000100000,01100010000101001110001000000101,00000001000011011101100001000110,00011110000100000000000000100001,00000001000000001001010010001111,00010000100000000101000000001000,01000100010000010001001001001001,00010000010000100101000101110001,00111000000000100001101000000000,00011000001001100101110100000001,00011100000011001101010110000000,00101100100110001100001110101000,01111000100001011101000000111000,01111110100011111100101001011101,01000010110111011100001001000111
9:00000000000000000000000000000000,01010000000010000000100001000110,00110010000010000100011011000010,00110011100000000100011000000010,00100100000000001000001000100010,00000100100000001101111111000101,00011111000000001100101111000010,00000001000110000001101100001001,00000010000010000000000110001010,00000001101010000000001000010000,01010111110110000100000110000000,00000100100100000001001100011110,00010000010110100101111000000000,00000000000000110001000110000001,01000010111010100001000111100000,01101011100000111110011011100011,01010110011000110010001001101001,01000000001000100001010001100111,01000000000110000010010000000001,01100001000000101000100001000010,01100001000101000000000100100001,00011001000101101001010010000001,00011000000000010110010001001000,00010000000001110000101000100000,01110000100000000000110101111000,01101000000000000001010001000001,01010100001100000101000000000000,01000100001110011111000000000000,01011101110001000111100001111000,01100110000001000101101010111000,01000100000000000001001110110011,00000000000000000000000100011111
10:00000000000000000000000000000000,00001101000000000011011010000001,01000000000000001000000000000000,01000100000000000000000011000000,00001000001000001000000111100011,00001000010000110110110100001100,00001000110111111101101101001010,00011000100000100000001100000110,00011001000000000000000110010100,00011100011000000000000110010010,00010111101010000110000110010000,00010111100010001000001010010000,00001100011011101000000100101010,00000000000011101110110001100001,01010111010000110001110001100001,01110110000001001000101000000001,01110001010000100100000000000011,00000000001111100011100000000010,00010000000011100010100000000000,00010110000111100001000000000001,01010010000100111100100001000011,00000110000101110010100001110011,00000111000001111010000000011000,00000010000000001000011000001000,01110100110000000100010000101001,00000000110010000100010000000111,01010001101110000111010000000001,01000000001110110110010000000000,00000100000001110100000000111000,00011000000001101100111101101000,01000000000001101110111110001000,00010000110000000000100100100011
